Phonological Forms,Syllabic Structures,Number of Syllables,Written Forms,Syntactic Categories,Frequency,Stress Patterns
tæʔ.zim,CVC.CVC,2,تعظيم,N1,15,WS
tæ.ʔæf.fon,CV.CVC.CVC,3,تعفن,N1,7,WWS
tæʔ.fin,CVC.CVC,2,تعفين,N1,1,WS
tæ.ʔæG.Gol,CV.CVC.CVC,3,تعقل,N1,165,WWS
tæ.ʔæG.Go.li,CV.CVC.CV.CV,4,تعقلي,A0,1,WWWS
tæʔ.Gib,CVC.CVC,2,تعقيب,N1,345,WS
tæʔ.Gib.co.næn.de,CVC.CVC.CV.CVC.CV,5,تعقيب‌كننده,A0,4,WWWWS
tæʔ.Gib.nɒ.me,CVC.CVC.CV.CV,4,تعقيب‌نامه,N1,1,WWWS
tæʔ.Gi.bi,CVC.CV.CV,3,تعقيبي,A0,6,WWS
tæʔ.Gid,CVC.CVC,2,تعقيد,N1,1,WS
tæ.ʔæl.loG,CV.CVC.CVC,3,تعلق,N1,435,WWS
tæ.ʔæl.lo.Ge.χɒ.ter,CV.CVC.CV.CV.CV.CVC,6,تعلق‌خاطر,N1,1,WWWWWS
tæ.ʔæl.loG.ɟe.ref.te,CV.CVC.CVC.CV.CVC.CV,6,تعلق‌گرفته,A0,1,WWWWS
tæ.ʔæl.lol,CV.CVC.CVC,3,تعلل,N1,45,WWS
tæ.ʔæl.lom,CV.CVC.CVC,3,تعلم,N1,30,WWS
tæʔ.lif,CVC.CVC,2,تعليف,N1,12,WS
tæʔ.liG,CVC.CVC,2,تعليق,N1,120,WS
tæʔ.li.Ge,CVC.CV.CV,3,تعليقه,N1,1,WWS
tæʔ.li.Gi,CVC.CV.CV,3,تعليقي,A0,15,WWS
tæʔ.lil,CVC.CVC,2,تعليل,N1,7,WS
tæʔ.lim,CVC.CVC,2,تعليم,N1,585,WS
tæʔ.lim.dæ.hæn.de,CVC.CVC.CV.CVC.CV,5,تعليم‌دهنده,A0,1,WWWWS
tæʔ.lim.di.de,CVC.CVC.CV.CV,4,تعليم‌ديده,A0,3,WWWS
tæʔ.li.mo.tær.bi.jæt,CVC.CV.CV.CVC.CV.CVC,6,تعليم‌وتربيت,N1,1,WWWWWS
tæʔ.li.mo.tæ.ʔæl.lom,CVC.CV.CV.CV.CVC.CVC,6,تعليم‌وتعلم,N1,1,WWWWWS
tæʔ.lim.jɒf.te,CVC.CVC.CVC.CV,4,تعليم‌يافته,A0,1,WWWS
tæʔ.li.mɒt.jɒf.te,CVC.CV.CVC.CVC.CV,5,تعليمات‌يافته,A0,1,WWWWS
tæʔ.li.mɒ.ti,CVC.CV.CV.CV,4,تعليماتي,A0,5,WWWS
tæʔ.li.mi,CVC.CV.CV,3,تعليمي,A0,60,WWS
tæ.ʔæm.mod,CV.CVC.CVC,3,تعمد,N1,15,WWS
tæ.ʔæm.mo.dæn,CV.CVC.CV.CVC,4,تعمداً,Ad,75,WWWS
tæ.ʔæm.mo.di,CV.CVC.CV.CV,4,تعمدي,A0,3,WWWS
tæ.ʔæm.moG,CV.CVC.CVC,3,تعمق,N1,39,WWS
tæ.ʔæm.moG.bæ.ræn.ɟiz,CV.CVC.CVC.CV.CVC.CVC,6,تعمق‌برانگيز,A0,1,WWWWWS
tæʔ.mid,CVC.CVC,2,تعميد,N1,6,WS
tæʔ.mid.dæ.hæn.de,CVC.CVC.CV.CVC.CV,5,تعميددهنده,N1,1,WWWWS
tæʔ.mid.ɟi.ræn.de,CVC.CVC.CV.CVC.CV,5,تعميدگيرنده,N1,1,WWWWS
tæʔ.mi.di,CVC.CV.CV,3,تعميدي,A0,1,WWS
tæʔ.mir,CVC.CVC,2,تعمير,N1,270,WS
tæʔ.mi.rɒt,CVC.CV.CVC,3,تعميرات,N1,1,WWS
tæʔ.mi.rɒ.ti,CVC.CV.CV.CV,4,تعميراتي,A0,7,WWWS
tæʔ.mir.cɒr,CVC.CVC.CVC,3,تعميركار,N1,15,WWS
tæʔ.mir.cɒ.ri,CVC.CVC.CV.CV,4,تعميركاري,N1,7,WWWS
tæʔ.mir.co.næn.de,CVC.CVC.CV.CVC.CV,5,تعميركننده,A0,2,WWWWS
tæʔ.mir.ɟɒh,CVC.CVC.CVC,3,تعميرگاه,N1,15,WWS
tæʔ.mir.ɟɒ.hi,CVC.CVC.CV.CV,4,تعميرگاهي,A0,3,WWWS
tæʔ.mi.ri,CVC.CV.CV,3,تعميري,A0,30,WWS
tæʔ.miG,CVC.CVC,2,تعميق,N1,135,WS
tæʔ.miG.sɒ.zi,CVC.CVC.CV.CV,4,تعميق‌سازي,N1,1,WWWS
tæʔ.mim,CVC.CVC,2,تعميم,N1,45,WS
tæʔ.mim.pæ.zir,CVC.CVC.CV.CVC,4,تعميم‌پذير,A0,1,WWWS
tæʔ.mim.jɒf.te,CVC.CVC.CVC.CV,4,تعميم‌يافته,A0,3,WWWS
tæʔ.mi.je,CVC.CV.CV,3,تعميه,N1,1,WWS
tæ.ʔæh.hod,CV.CVC.CVC,3,تعهد,N1,495,WWS
tæ.ʔæh.ho.dɒ.vær,CV.CVC.CV.CV.CVC,5,تعهدآور,A0,30,WWWWS
tæ.ʔæh.hod.pæ.zi.ri,CV.CVC.CVC.CV.CV.CV,6,تعهدپذيري,N1,1,WWWWWS
tæ.ʔæh.hod.cɒ.ri,CV.CVC.CVC.CV.CV,5,تعهدكاري,N1,2,WWWWS
tæ.ʔæh.hod.nɒ.me,CV.CVC.CVC.CV.CV,5,تعهدنامه,N1,9,WWWWS
tæ.ʔæh.ho.di,CV.CVC.CV.CV,4,تعهدي,A0,10,WWWS
tæʔ.viz,CVC.CVC,2,تعويض,N1,90,WS
tæʔ.viG,CVC.CVC,2,تعويق,N1,240,WS
tæʔ.bir,CVC.CVC,2,تعيبر,N1,1,WS
tæ.ʔæj.joʃ,CV.CVC.CVC,3,تعيش,N1,2,WWS
tæ.ʔæj.jon,CV.CVC.CVC,3,تعين,N1,16,WWS
tæʔ.jin,CVC.CVC,2,تعيين,N1,1830,WS
tæʔ.jin.ʃo.de,CVC.CVC.CV.CV,4,تعيين‌شده,A0,127,WWWS
tæʔ.jin.co.næn.de,CVC.CVC.CV.CVC.CV,5,تعيين‌كننده,A0,135,WWWWS
tæʔ.ji.ni,CVC.CV.CV,3,تعييني,A0,11,WWS
tæ.Gɒ.bon,CV.CV.CVC,3,تغابن,N1,1,WWS
tæ.Gɒr,CV.CVC,2,تغار,N1,1,WS
tæ.Gɒ.fol,CV.CV.CVC,3,تغافل,N1,11,WWS
tæ.Gɒ.jor,CV.CV.CVC,3,تغاير,N1,8,WWS
tæG.zi.je,CVC.CV.CV,3,تغذيه,N1,375,WWS
tæG.zi.je.co.næn.de,CVC.CV.CV.CV.CVC.CV,6,تغذيه كننده,A0,15,WWWWWS
tæG.zi.je.ʔi,CVC.CV.CV.CV,4,تغذيه‌اي,A0,15,WWWS
tæG.zi.je.ʃe.nɒs,CVC.CV.CV.CV.CVC,5,تغذيه‌شناس,N1,1,WWWWS
tæG.zi.je.co.næn.de,CVC.CV.CV.CV.CVC.CV,6,تغذيه‌كننده,A0,11,WWWWWS
tæ.Gæz.zol,CV.CVC.CVC,3,تغزل,N1,11,WWS
tæ.Gæz.zo.li,CV.CVC.CV.CV,4,تغزلي,A0,3,WWWS
tæG.sil,CVC.CVC,2,تغسيل,N1,1,WS
tæ.Gæl.lob,CV.CVC.CVC,3,تغلب,N1,3,WWS
tæG.lib,CVC.CVC,2,تغليب,N1,1,WS
tæG.liz,CVC.CVC,2,تغليظ,N1,5,WS
tæ.Gæj.jor,CV.CVC.CVC,3,تغير,N1,1,WWS
tæG.jir,CVC.CVC,2,تغيير,N1,2220,WS
tæG.jir.pæ.zi.ri,CVC.CVC.CV.CV.CV,5,تغيير‌پذيري,N1,9,WWWWS
tæG.ji.re.hɒ.læt.jɒf.te,CVC.CV.CV.CV.CVC.CVC.CV,7,تغيير‌حالت‌يافته,A0,1,WWWWWWS
tæG.ji.re.rænɟ.dɒ.de,CVC.CV.CV.CVCC.CV.CV,6,تغيير‌رنگ‌داده,A0,1,WWWWWS
tæG.ji.re.rænɟ.jɒf.te,CVC.CV.CV.CVCC.CVC.CV,6,تغيير‌رنگ‌يافته,A0,1,WWWWWS
tæG.ji.re.ʃecl.jɒf.te,CVC.CV.CV.CVCC.CVC.CV,6,تغيير‌شكل‌يافته,A0,5,WWWWWS
tæG.jir.tæ.læb,CVC.CVC.CV.CVC,4,تغيير‌طلب,A0,1,WWWS
tæG.jir.nɒ.pæ.zi.ri,CVC.CVC.CV.CV.CV.CV,6,تغيير‌ناپذيري,N1,6,WWWWWS
tæG.ji.ro.tæ.hæv.vol,CVC.CV.CV.CV.CVC.CVC,6,تغيير‌و‌تحول,N1,1,WWWWWS
tæG.jir.jɒf.te,CVC.CVC.CVC.CV,4,تغيير‌يافته,A0,8,WWWS
tæG.jir.pæ.zir,CVC.CVC.CV.CVC,4,تغييرپذير,A0,2,WWWS
tæG.jir.dæ.hæn.de,CVC.CVC.CV.CVC.CV,5,تغييردهنده,A0,1,WWWWS
tæG.jir.nɒ.pæ.zir,CVC.CVC.CV.CV.CVC,5,تغييرناپذير,A0,27,WWWWS
tæG.jir.jɒ.bi,CVC.CVC.CV.CV,4,تغييريابي,N1,1,WWWS
tof,CVC,1,تف,N1,6,S
tæf.di.de,CVC.CV.CV,3,تف‌ديده,A0,1,WWS
tof.mɒ.li,CVC.CV.CV,3,تف‌مالي,N1,1,WWS
tæ.fæʔ.ʔol,CV.CVC.CVC,3,تفأل,N1,3,WWS
tæ.fɒ.χor,CV.CV.CVC,3,تفاخر,N1,8,WWS
tæ.fɒ.riG,CV.CV.CVC,3,تفاريق,N1,15,WWS
tæ.fɒ.sir,CV.CV.CVC,3,تفاسير,N1,45,WWS
tæ.fɒ.sil,CV.CV.CVC,3,تفاصيل,N1,5,WWS
tæ.fɒ.zol,CV.CV.CVC,3,تفاضل,N1,15,WWS
te.fɒl,CV.CVC,2,تفال,N1,6,WS
to.fɒ.le,CV.CV.CV,3,تفاله,N1,15,WWS
tæ.fɒ.hom,CV.CV.CVC,3,تفاهم,N1,180,WWS
tæ.fɒ.ho.mɒ.miz,CV.CV.CV.CV.CVC,5,تفاهم‌آميز,A0,7,WWWWS
tæ.fɒ.hom.nɒ.me,CV.CV.CVC.CV.CV,5,تفاهم‌نامه,N1,60,WWWWS
tæ.fɒ.ho.mi,CV.CV.CV.CV,4,تفاهمي,A0,2,WWWS
tæ.fɒ.vot,CV.CV.CVC,3,تفاوت,N1,450,WWS
tæ.fɒ.vot.sɒz,CV.CV.CVC.CVC,4,تفاوت‌ساز,A0,1,WWWS
tæ.fɒ.vot.ɟo.zɒr,CV.CV.CVC.CV.CVC,5,تفاوت‌گذار,A0,6,WWWWS
tæft,CVCC,1,تفت,N1,15,S
tæft,CVCC,1,تفت,V1,5000,S
tæft.dɒ.de,CVCC.CV.CV,3,تفت‌داده,A0,1,WWS
tæf.tɒl,CVC.CVC,2,تفتال,N1,1,WS
tæf.tɒn,CVC.CVC,2,تفتان,V1,5000,WS
tæf.tɒnd,CVC.CVCC,2,تفتاند,V2,5000,WS
tæf.te.ɟi,CVC.CV.CV,3,تفتگي,N1,1,WWS
tæf.te,CVC.CV,2,تفته,A0,1,WS
tæf.tih,CVC.CVC,2,تفتيح,N1,1,WS
tæf.tid,CVC.CVC,2,تفتيد,V2,5000,WS
tæf.ti.de,CVC.CV.CV,3,تفتيده,A0,4,WWS
tæf.tiʃ,CVC.CVC,2,تفتيش,N1,30,WS
tæf.ti.ʃi,CVC.CV.CV,3,تفتيشي,A0,22,WWS
tæf.tin,CVC.CVC,2,تفتين,N1,1,WS
tæ.fæh.hos,CV.CVC.CVC,3,تفحص,N1,240,WWS
tæf.χim,CVC.CVC,2,تفخيم,N1,1,WS
tæ.fær.roʤ,CV.CVC.CVC,3,تفرج,N1,15,WWS
tæ.fær.roʤ.ɟɒh,CV.CVC.CVC.CVC,4,تفرج‌گاه,N1,19,WWWS
tæ.fær.roʤ.ɟɒ.hi,CV.CVC.CVC.CV.CV,5,تفرجگاهي,A0,4,WWWWS
tæ.fær.ro.ʤi,CV.CVC.CV.CV,4,تفرجي,A0,2,WWWS
tæ.fær.rod,CV.CVC.CVC,3,تفرد,N1,1,WWS
tæf.re.ʃi,CVC.CV.CV,3,تفرشي,A0,4,WWS
tæ.fær.ʔon,CV.CVC.CVC,3,تفرعن,N1,15,WWS
tæ.fær.roG,CV.CVC.CVC,3,تفرق,N1,9,WWS
tæf.ræ.Ge,CVC.CV.CV,3,تفرقه,N1,75,WWS
tæf.ræ.Ge.ʔɒ.miz,CVC.CV.CV.CV.CVC,5,تفرقه‌آميز,A0,5,WWWWS
tæf.ræ.Ge.ʔæf.cæn,CVC.CV.CV.CVC.CVC,5,تفرقه‌افكن,A0,4,WWWWS
tæf.ræ.Ge.ʔæf.cæ.nɒ.ne,CVC.CV.CV.CVC.CV.CV.CV,7,تفرقه‌افكنانه,A0,30,WWWWWWS
tæf.ræ.Ge.ʔæf.cæ.ni,CVC.CV.CV.CVC.CV.CV,6,تفرقه‌افكني,N1,12,WWWWWS
tæf.ræ.Ge.ʔæn.dɒz,CVC.CV.CV.CVC.CVC,5,تفرقه‌انداز,A0,1,WWWWS
tæf.ræ.Ge.ʔæn.ɟiz,CVC.CV.CV.CVC.CVC,5,تفرقه‌انگيز,A0,10,WWWWS
tæf.ræ.Ge.bæ.ræn.ɟiz,CVC.CV.CV.CV.CVC.CVC,6,تفرقه‌برانگيز,A0,1,WWWWWS
tæf.ræ.Ge.bi.jæn.dɒz,CVC.CV.CV.CV.CVC.CVC,6,تفرقه‌بينداز,A0,1,WWWWWS
tæf.ræ.Ge.tæ.læ.bɒ.ne,CVC.CV.CV.CV.CV.CV.CV,7,تفرقه‌طلبانه,Ad,1,WWWWWWS
tæf.rih,CVC.CVC,2,تفريح,N1,75,WS
tæf.rih.ɟɒh,CVC.CVC.CVC,3,تفريحگاه,N1,19,WWS
tæf.ri.hi,CVC.CV.CV,3,تفريحي,A0,270,WWS
tæf.ri.hi.sær.ɟær.mi,CVC.CV.CV.CVC.CVC.CV,6,تفريحي‌سرگرمي,A0,1,WWWWWS
tæf.ri.hi.vær.ze.ʃi,CVC.CV.CV.CVC.CV.CV,6,تفريحي‌ورزشي,A0,2,WWWWWS
tæf.rit,CVC.CVC,2,تفريط,N1,45,WS
tæf.ri.ti,CVC.CV.CV,3,تفريطي,A0,8,WWS
tæf.riG,CVC.CVC,2,تفريق,N1,5,WS
tæfs,CVCC,1,تفس,V1,5000,S
tæf.sid,CVC.CVC,2,تفسيد,V2,5000,WS
tæf.sir,CVC.CVC,2,تفسير,N1,1290,WS
tæf.sir.næ.ʃo.de,CVC.CVC.CV.CV.CV,5,تفسير‌نشده,A0,1,WWWWS
tæf.sir.ʃe.nɒ.si,CVC.CVC.CV.CV.CV,5,تفسيرشناسي,N1,15,WWWWS
tæf.sir.co.næn.de,CVC.CVC.CV.CVC.CV,5,تفسيركننده,A0,2,WWWWS
tæf.sir.ne.ɟɒ.ri,CVC.CVC.CV.CV.CV,5,تفسيرنگاري,N1,2,WWWWS
tæf.si.ri,CVC.CV.CV,3,تفسيري,A0,105,WWS
tæf.siG,CVC.CVC,2,تفسيق,N1,11,WS
tæf.sil,CVC.CVC,2,تفصيل,N1,30,WS
tæf.si.læn,CVC.CV.CVC,3,تفصيلاً,Ad,15,WWS
tæf.si.li,CVC.CV.CV,3,تفصيلي,A0,45,WWS
tæ.fæz.zol,CV.CVC.CVC,3,تفضل,N1,13,WWS
tæ.fæz.zo.li,CV.CVC.CV.CV,4,تفضلي,A0,4,WWWS
tæf.zil,CVC.CVC,2,تفضيل,N1,15,WS
tæf.zi.li,CVC.CV.CV,3,تفضيلي,N1,15,WWS
tæ.fæʔ.ʔol,CV.CVC.CVC,3,تفعل,N1,15,WWS
tæ.fæG.God,CV.CVC.CVC,3,تفقد,N1,15,WWS
tæ.fæG.Goh,CV.CVC.CVC,3,تفقه,N1,3,WWS
to.fæc,CV.CVC,2,تفك,N1,1,WS
tæ.fæc.cor,CV.CVC.CVC,3,تفكر,N1,885,WWS
tæ.fæc.cor.bæ.ræn.ɟiz,CV.CVC.CVC.CV.CVC.CVC,6,تفكر‌برانگيز,A0,4,WWWWWS
tæ.fæc.co.rɒ.fæ.rin,CV.CVC.CV.CV.CV.CVC,6,تفكرآفرين,A0,1,WWWWWS
tæ.fæc.co.rɒ.miz,CV.CVC.CV.CV.CVC,5,تفكرآميز,A0,1,WWWWS
tæ.fæc.co.ri,CV.CVC.CV.CV,4,تفكري,N1,1,WWWS
tæf.cic,CVC.CVC,2,تفكيك,N1,345,WS
tæf.cic.pæ.zir,CVC.CVC.CV.CVC,4,تفكيك‌پذير,A0,15,WWWS
tæf.cic.ʃo.de,CVC.CVC.CV.CV,4,تفكيك‌شده,A0,4,WWWS
tæf.cic.co.næn.de,CVC.CVC.CV.CVC.CV,5,تفكيك‌كننده,A0,1,WWWWS
tæf.cic.nɒ.pæ.zir,CVC.CVC.CV.CV.CVC,5,تفكيك‌ناپذير,A0,11,WWWWS
tæf.cic.nɒ.pæ.zi.ri,CVC.CVC.CV.CV.CV.CV,6,تفكيك‌ناپذيري,N1,1,WWWWWS
tæf.cic.næ.ʃo.dæ.ni,CVC.CVC.CV.CV.CV.CV,6,تفكيك‌نشدني,A0,1,WWWWWS
tæf.ci.ci,CVC.CV.CV,3,تفكيكي,A0,7,WWS
tef.lon,CVC.CVC,2,تفلن,N1,1,WS
tef.lon,CVC.CVC,2,تفلون,N1,2,WS
to.fænɟ,CV.CVCC,2,تفنگ,N1,105,WS
to.fænɟ.ʧi,CV.CVCC.CV,3,تفنگچي,N1,1,WWS
to.fænɟ.dɒr,CV.CVCC.CVC,3,تفنگدار,N1,15,WWS
tæ.fæn.non,CV.CVC.CVC,3,تفنن,N1,11,WWS
tæ.fæn.no.ni,CV.CVC.CV.CV,4,تفنني,A0,9,WWWS
tæ.fæn.no.ni.bæχʃ,CV.CVC.CV.CV.CVCC,5,تفنني‌بخش,A0,1,WWWWS
tæ.fæh.hom,CV.CVC.CVC,3,تفهم,N1,1,WWS
tæf.him,CVC.CVC,2,تفهيم,N1,45,WS
tæf.hi.mi,CVC.CV.CV,3,تفهيمي,A0,1,WWS
to.fu,CV.CV,2,تفو,N1,1,WS
tæ.fæv.voG,CV.CVC.CVC,3,تفوق,N1,105,WWS
tæ.fæv.voG.ʤu.jɒ.ne,CV.CVC.CVC.CV.CV.CV,6,تفوق‌جويانه,Ad,1,WWWWWS
tæ.fæv.voɟ.tæ.læ.bi,CV.CVC.CVC.CV.CV.CV,6,تفوق‌طلبي,N1,1,WWWWWS
tæ.fæv.voh,CV.CVC.CVC,3,تفوه,N1,2,WWS
tæf.viz,CVC.CVC,2,تفويض,N1,90,WS
tæf.viz.ʃo.de,CVC.CVC.CV.CV,4,تفويض‌شده,A0,2,WWWS
tæf.vi.zi,CVC.CV.CV,3,تفويضي,A0,4,WWS
tæG,CVC,1,تق,N1,1,S
tæG.tæG,CVC.CVC,2,تق‌تق,N1,1,WS
tæG.Go.tuG,CVC.CV.CVC,3,تق‌وتوق,N1,1,WWS
tæG.Go.læG,CVC.CV.CVC,3,تق‌ولق,A0,1,WWS
tæ.Gɒ.bol,CV.CV.CVC,3,تقابل,N1,154,WWS
tæ.Gɒ.bol.dæ.hæn.de,CV.CV.CVC.CV.CVC.CV,6,تقابل‌دهنده,A0,2,WWWWWS
tæ.Gɒ.bo.li,CV.CV.CV.CV,4,تقابلي,A0,4,WWWS
tæ.Gɒ.rob,CV.CV.CVC,3,تقارب,N1,3,WWS
tæ.Gɒ.ron,CV.CV.CVC,3,تقارن,N1,30,WWS
tæ.Gɒs,CV.CVC,2,تقاص,N1,3,WS
tæ.Gɒ.zɒ,CV.CV.CV,3,تقاضا,N1,810,WWS
tæ.Gɒ.zɒ.sænʤ,CV.CV.CV.CVCC,4,تقاضاسنج,N1,1,WWWS
tæ.Gɒ.zɒ.ʃæ.væn.de,CV.CV.CV.CV.CVC.CV,6,تقاضاشونده,A0,1,WWWWWS
tæ.Gɒ.zɒ.co.næn.de,CV.CV.CV.CV.CVC.CV,6,تقاضاكننده,A0,1,WWWWWS
tæ.Gɒ.zɒ.nɒ.me,CV.CV.CV.CV.CV,5,تقاضانامه,N1,16,WWWWS
tæ.Gɒ.toʔ,CV.CV.CVC,3,تقاطع,N1,135,WWS
tæ.Gɒ.ʔod,CV.CV.CVC,3,تقاعد,N1,2,WWS
tæ.Gɒ.ʔo.di,CV.CV.CV.CV,4,تقاعدي,A0,1,WWWS
tæ.Gɒ.lid,CV.CV.CVC,3,تقاليد,N1,2,WWS
tæ.Gɒ.vim,CV.CV.CVC,3,تقاويم,N1,1,WWS
tæ.Gæb.bol,CV.CVC.CVC,3,تقبل,N1,90,WWS
tæG.bih,CVC.CVC,2,تقبيح,N1,45,WS
tæ.Gæd.dos,CV.CVC.CVC,3,تقدس,N1,90,WWS
tæ.Gæd.dos.zo.dɒ,CV.CVC.CVC.CV.CV,5,تقدس‌زدا,A0,1,WWWWS
tæ.Gæd.dos.zo.dɒ.ji,CV.CVC.CVC.CV.CV.CV,6,تقدس‌زدايي,N1,3,WWWWWS
tæ.Gæd.dos.mæ.ʔɒ.bi,CV.CVC.CVC.CV.CV.CV,6,تقدس‌مآبي,N1,1,WWWWWS
tæ.Gæd.dom,CV.CVC.CVC,3,تقدم,N1,45,WWS
tæG.dir,CVC.CVC,2,تقدير,N1,480,WS
tæG.dir.ɟe.rɒ.ji,CVC.CVC.CV.CV.CV,5,تقديرگرايي,N1,3,WWWWS
tæG.dir.nɒ.me,CVC.CVC.CV.CV,4,تقديرنامه,N1,30,WWWS
tæG.di.ri,CVC.CV.CV,3,تقديري,A0,15,WWS
tæG.dis,CVC.CVC,2,تقديس,N1,30,WS
tæG.dis.co.næn.de,CVC.CVC.CV.CVC.CV,5,تقديس‌كننده,A0,1,WWWWS
tæG.dim,CVC.CVC,2,تقديم,N1,390,WS
tæG.di.mi,CVC.CV.CV,3,تقديمي,A0,9,WWS
tæ.Gær.rob,CV.CVC.CVC,3,تقرب,N1,30,WWS
tæ.Gær.rob.ʤu,CV.CVC.CVC.CV,4,تقرب‌جو,A0,3,WWWS
tæG.rib,CVC.CVC,2,تقريب,N1,60,WS
tæG.ri.bæn,CVC.CV.CVC,3,تقريباً,Ad,840,WWS
tæG.ri.bi,CVC.CV.CV,3,تقريبي,A0,225,WWS
tæG.rir,CVC.CVC,2,تقرير,N1,60,WS
tæG.rir.co.næn.de,CVC.CVC.CV.CVC.CV,5,تقرير‌كننده,A0,1,WWWWS
tæG.riz,CVC.CVC,2,تقريظ,N1,2,WS
tæG.sit,CVC.CVC,2,تقسيط,N1,10,WS
tæG.sit.ʃo.de,CVC.CVC.CV.CV,4,تقسيط‌شده,A0,1,WWWS
tæG.si.ti,CVC.CV.CV,3,تقسيطي,A0,6,WWS
tæG.sim,CVC.CVC,2,تقسيم,N1,780,WS
tæG.sim.bær,CVC.CVC.CVC,3,تقسيم‌بر,N1,1,WWS
tæG.sim.bæn.di,CVC.CVC.CVC.CV,4,تقسيم‌بندي,N1,45,WWWS
tæG.sim.bæn.di.ʃo.de,CVC.CVC.CVC.CV.CV.CV,6,تقسيم‌بندي‌شده,A0,1,WWWWWS
tæG.sim.pæ.zir,CVC.CVC.CV.CVC,4,تقسيم‌پذير,A0,1,WWWS
tæG.sim.ʃo.dæ.ni,CVC.CVC.CV.CV.CV,5,تقسيم‌شدني,A0,1,WWWWS
tæG.sim.ʃo.de,CVC.CVC.CV.CV,4,تقسيم‌شده,A0,2,WWWS
tæG.sim.næ.ʃo.de,CVC.CVC.CV.CV.CV,5,تقسيم‌نشده,A0,1,WWWWS
tæG.si.mɒ.ti,CVC.CV.CV.CV,4,تقسيماتي,A0,1,WWWS
tæG.sir,CVC.CVC,2,تقصير,N1,15,WS
tæG.tir,CVC.CVC,2,تقطير,N1,16,WS
tæG.tir.ʃo.de,CVC.CVC.CV.CV,4,تقطير‌شده,A0,1,WWWS
tæG.tiʔ,CVC.CVC,2,تقطيع,N1,7,WS
tæ.Gæ.ʔor,CV.CV.CVC,3,تقعر,N1,1,WWS
tæ.Gæl.lɒ,CV.CVC.CV,3,تقلا,N1,3,WWS
tæ.Gæl.lob,CV.CVC.CVC,3,تقلب,N1,30,WWS
tæ.Gæl.lo.bi,CV.CVC.CV.CV,4,تقلبي,A0,30,WWWS
toG.li,CVC.CV,2,تقلي,N1,1,WS
tæG.li.bi,CVC.CV.CV,3,تقليبي,A0,1,WWS
tæG.lid,CVC.CVC,2,تقليد,N1,300,WS
tæG.lid.pæ.zi.ri,CVC.CVC.CV.CV.CV,5,تقليد‌پذيري,N1,1,WWWWS
tæG.lid.ʃo.de,CVC.CVC.CV.CV,4,تقليدشده,A0,1,WWWS
tæG.lid.co.næn.de,CVC.CVC.CV.CVC.CV,5,تقليدكننده,A0,4,WWWWS
tæG.lid.ɟær,CVC.CVC.CVC,3,تقليدگر,A0,1,WWS
tæG.lid.ɟæ.ri,CVC.CVC.CV.CV,4,تقليدگري,N1,1,WWWS
tæG.li.di,CVC.CV.CV,3,تقليدي,A0,45,WWS
tæG.lil,CVC.CVC,2,تقليل,N1,105,WS
tæG.li.li,CVC.CV.CV,3,تقليلي,A0,1,WWS
tæG.nin,CVC.CVC,2,تقنين,N1,6,WS
tæG.ni.ni,CVC.CV.CV,3,تقنيني,A0,11,WWS
tæG.Ge,CVC.CV,2,تقه,N1,1,WS
tæG.vɒ,CVC.CV,2,تقوا,N1,300,WS
tæG.vɒ.ʔi,CVC.CV.CV,3,تقوائي,N1,30,WWS
tæG.vɒ.ji,CVC.CV.CV,3,تقوايي,N1,16,WWS
tæG.vɒ.pi.ʃe.ɟi,CVC.CV.CV.CV.CV,5,تقوي‌پيشگي,N1,1,WWWWS
tæG.vɒ.pi.ʃe,CVC.CV.CV.CV,4,تقوي‌پيشه,A0,1,WWWS
tæG.vi.jæt,CVC.CV.CVC,3,تقويت,N1,1785,WWS
tæG.vi.jæt.sɒz,CVC.CV.CVC.CVC,4,تقويت‌ساز,A0,1,WWWS
tæG.vij.jæt.ʃo.de,CVC.CVC.CVC.CV.CV,5,تقويت‌شده,A0,3,WWWWS
tæG.vi.jæt.co.næn.de,CVC.CV.CVC.CV.CVC.CV,6,تقويت‌كننده,A0,15,WWWWWS
tæG.vi.jæt.ɟær,CVC.CV.CVC.CVC,4,تقويت‌گر,N1,15,WWWS
tæG.vi.jæ.ti,CVC.CV.CV.CV,4,تقويتي,A0,15,WWWS
tæG.vim,CVC.CVC,2,تقويم,N1,60,WS
tæ.Gæj.jod,CV.CVC.CVC,3,تقيد,N1,30,WWS
tæ.Gij.je,CV.CVC.CV,3,تقيه,N1,16,WWS
tæG.jid,CVC.CVC,2,تقييد,N1,2,WS
tæc,CVC,1,تك,A0,30,S
tæc,CVC,1,تك,V1,5000,S
tec,CVC,1,تك,N1,1,S
toc,CVC,1,تك,N1,1,S
tæ.cær.ze.ʃi,CV.CVC.CV.CV,4,تك‌ارزشي,N1,3,WWWS
tæ.cen.fe.ʤɒr,CV.CVC.CV.CVC,4,تك‌انفجار,N1,1,WWWS
tæc.bɒft,CVC.CVCC,2,تك‌بافت,A0,1,WS
tæc.boʔ.di,CVC.CVC.CV,3,تك‌بعدي,A0,30,WWS
tæc.be.tæc,CVC.CV.CVC,3,تك‌به‌تك,Ad,5,WWS
tæc.bæ.jɒ.ni,CVC.CV.CV.CV,4,تك‌بياني,N1,1,WWWS
tæc.bej.ti,CVC.CVC.CV,3,تك‌بيتي,N1,1,WWS
